Mass/Charge	Area	Height
100.0735735	25.51121412	3525.932438
100.9331719	0.232515902	30.90258754
101.0576151	8.534907784	1021.637665
101.0746928	1.066816644	139.1347769
101.0879682	0.073293783	16.51682088
101.0922038	0.046362776	14.88818997
102.0607625	0.486211896	62.78259798
102.088613	0.144266569	20.62049311
102.1251085	0.196865459	27.8934495
102.9302619	0.086745577	14.56869326
103.0513592	0.072081159	12.08677734
103.0718018	0.338081143	48.72081407
104.905501	0.220325205	36.68113041
105.042336	0.07597127	13.58584983
105.067188	0.64477704	85.12385053
105.9335154	0.055866656	13.00986191
106.0839978	0.065515274	13.88839435
106.9893141	0.10531491	16.77578272
107.0252654	0.313386805	39.45792637
107.0461505	0.872058884	108.7992197
107.0827732	0.468259848	59.46848779
109.0623051	0.226620304	39.74003836
109.0986534	0.562320672	69.39771299
110.9721945	0.113001708	19.95168635
111.0415031	0.176876397	26.97078896
111.0775636	0.208148511	26.82406529
111.1143177	0.11393352	17.3453325
113.0571869	0.216032496	29.86548101
113.0935368	0.060338021	11.33998514
113.1054837	0.077877916	14.49878594
114.0890894	4.210004622	486.0370462
115.0350369	1.032858968	103.4906941
115.0501521	0.074956662	19.77235651
115.0726682	0.350672428	44.94131079
115.0916104	0.309195348	39.80169168
115.9268731	0.099073299	15.87014037
116.0689009	0.090423233	13.91951418
116.9741004	0.158936673	18.68370156
117.0466746	0.129512677	17.43377977
117.0665317	0.066590142	14.18761
117.0869783	0.248447091	39.37605045
118.9747848	0.457804382	59.29547672
119.0828012	0.237987573	33.7929446
121.0049162	0.241582755	33.87823122
121.0260459	0.209439497	31.66095652
121.0377702	0.271757428	33.92787022
121.0476371	0.145376755	22.77084591
121.0614765	0.317988582	41.59609639
121.0980762	0.250242082	37.22937121
122.0550498	1.08961253	117.9594508
122.0772883	0.257586094	45.03083013
123.0415499	0.493405926	62.56591621
123.0786015	0.226298892	28.47989735
123.113323	0.339731826	42.1925197
125.0357528	0.10779229	16.06052952
125.0570219	0.123855489	20.27983725
125.0929597	0.208050058	30.24165972
127.0722331	0.15729473	21.82779195
127.1084018	0.094511013	14.29326524
127.981179	0.185068304	24.98552106
127.9898364	0.046060556	12.53973892
128.6592151	0.160755694	18.81062624
128.9005584	0.096170333	14.79275883
129.0523764	32.68537846	3856.430254
130.0261298	0.098447573	12.39622205
130.0550748	1.924320869	183.9885238
130.1564571	0.432143357	49.98487858
130.9026128	0.118506214	19.65367826
131.0564367	0.246804184	37.20916044
131.0603753	0.132827201	29.10844725
131.0823837	0.210731873	26.51460889
131.1035153	0.069220564	12.12981159
131.9006022	0.154918175	22.23713808
131.9480463	0.092305895	12.741777
132.8994255	0.35676305	43.39708132
132.9679202	0.093051224	12.48431533
133.0610035	0.290662769	28.61475205
133.0976287	0.285651765	35.40257405
135.0200853	0.174161812	28.50460024
135.0396438	0.100968218	13.61383649
135.0769519	0.207544694	31.68617273
135.1137967	0.491917431	55.96552066
136.0186662	0.766616019	81.36419806
136.0703685	0.511406784	53.24218441
137.056372	0.504228357	53.1248101
137.0923378	0.258752818	35.73631691
137.1291224	0.709806548	83.99961783
138.9082256	0.084533648	14.77807771
139.0042105	1.406973226	139.2078843
139.0347519	0.45089921	42.75149911
139.0718092	0.219234361	22.92192684
139.1073723	0.325590254	41.85618608
140.4773061	0.147663095	20.69101636
140.9774138	0.213232268	24.71971294
140.9986344	0.144032511	14.79829908
141.0870511	0.222908387	29.07206667
141.477002	0.297330226	37.15168377
141.9781286	1.938927303	196.0258754
141.9918713	0.02021641	15.07458044
142.0037895	0.222493745	28.646625
142.4783592	0.088010277	13.61697816
143.0329478	0.647987914	58.29125237
143.041271	0.072312059	17.65993935
143.0669471	0.584471103	67.46783974
143.0765415	0.035457213	12.44823496
143.1032169	0.153994238	19.09717027
145.041317	1.270637135	122.4276749
145.0608113	0.086331857	15.68138649
145.1184506	0.183548992	24.72403827
147.0216761	0.098920758	13.3617904
147.0390238	0.034306045	13.48094694
147.0622033	15.4962679	1505.085943
147.1129018	0.084241921	12.62698038
148.0351935	0.24170482	32.46145131
148.0657255	1.078868202	94.32649367
149.0001779	0.171384765	25.94345678
149.0205837	2.889786468	278.2375686
149.0389183	0.179558655	30.02234201
149.0553156	0.072161178	17.63695785
149.0675872	0.180436321	18.39010738
149.0926067	0.203877982	24.00282094
149.1294598	0.228883276	33.41023245
150.0232445	0.19722454	26.3584837
150.9037065	0.185504936	21.75272872
150.9829589	0.385750668	41.08483319
151.0336836	0.455996202	44.85975399
151.0719457	0.39696334	45.03098189
151.1088765	0.413023451	43.6606113
151.1448051	0.107395577	13.73548755
151.9044757	0.536668395	58.64478457
152.0371615	0.146732622	16.53804373
152.9032178	0.635992179	63.27073805
153.0507399	0.309978439	33.33601531
153.0704246	0.80994821	69.62162178
153.08734	0.260606318	29.69805359
153.1240536	0.663470729	67.5624407
153.9044929	0.897555445	92.24580875
154.0595679	0.365201408	34.26903872
154.9040454	5.667363812	547.3560328
155.0285224	1.731097154	135.1929528
155.0661344	0.438741046	41.78081848
155.1025648	0.319759627	29.7394564
155.1389992	0.117442965	13.04583211
156.0318831	0.07755974	12.30489782
156.0590849	0.210746542	24.11484974
157.0121765	0.139384934	22.49780793
157.0309971	0.162148919	16.54087173
157.0808064	0.381920978	45.12775049
157.1183944	0.120589578	15.8851936
158.1511251	0.109279884	14.32747498
159.0606731	0.388118189	31.64545535
159.1135919	0.146846628	18.73837669
159.1349708	0.50215197	49.08517369
161.0368035	1.043043222	88.90639926
161.0577117	0.483059831	44.37313977
