Mass/Charge	Height	Sum_Intensity_Above_50%
70.06479658	716.1528859	777.1766524
71.06814729	18.63475414	13.62221294
86.07080024	56.14159617	67.37854425
90.05420326	51.44195098	30.30017884
100.0731216	272.4895272	248.1972177
100.0886364	19.05159553	18.09886614
101.0834314	50.5652811	25.28264055
102.0907268	10.53150753	9.072662724
106.085834	49.72905764	53.17943074
111.0547611	84.93489188	109.9180555
111.0858519	11.63049817	5.815249085
112.0495006	26.25498806	32.58817915
112.8936092	39.48563219	20.6133746
113.7191729	110.1799432	117.2910925
113.75044	10.39482393	6.159943212
114.0674865	22442.69554	29597.18506
114.887996	14.25511741	7.127558705
114.9000898	10.0753013	10.05629738
115.0686357	1186.001383	1435.784273
115.7177483	74.23321263	148.3606826
116.0710182	29552.12646	35159.64246
116.7188346	14.56751386	8.62728659
117.0736552	1449.634122	1888.449933
118.0855839	525.8748355	673.8112309
119.0771815	16.18123559	8.340956252
119.0885938	35.36060528	38.86018951
119.1077448	12.97930418	13.03649379
121.0646551	10.38515483	5.998216997
123.1170971	14.91042445	7.455212225
125.070403	86.80001108	82.76038284
127.0857547	151.4102645	118.3916795
128.0696769	10.46928236	10.32055159
129.0660325	31.07402648	23.53428079
129.0877125	21.07605968	10.53802984
130.048433	19.26334887	9.631674434
130.0847169	18.70001614	12.70611654
131.6737547	36.88414907	42.32303634
132.0209665	170.1986044	143.6569081
132.0559455	10.22600093	5.113000467
132.076977	12556.55743	13292.38089
133.023644	16.21733751	8.108668756
133.0793884	612.1174401	564.3979509
133.1019961	50.16518649	25.08259324
134.0185063	9.528200174	5.717642392
134.0796382	49.5881625	56.40700693
135.1160682	20.604441	10.6780479
136.0477041	874.2438226	1266.465251
137.0253397	10.7306049	5.849956484
137.0500797	60.10568237	34.39261253
137.0707207	1509.577261	1877.97551
137.1098236	16.1411123	11.09293015
137.6331157	90.20039483	131.8674149
137.6497401	11.24240849	5.621204244
138.0550818	28253.69099	28993.05581
138.6336416	11.47003065	15.77937052
139.0578429	1892.092954	1928.038219
139.1458506	18.9772353	9.488617651
140.059463	146.5634987	187.3288952
140.074241	13.53746426	11.44406416
140.1134335	10.27066559	8.758718654
141.0639745	11.78510631	10.3690154
