70.0648	716
71.0681	19
86.0708	56
90.0542	51
100.0731	272
100.0886	19
101.0834	51
102.0907	11
106.0858	50
111.0548	85
111.0859	12
112.0495	26
112.8936	39
113.7192	110
113.7504	10
114.0675	22443
114.8880	14
114.9001	10
115.0686	1186
115.7177	74
116.7188	15
118.0856	526
119.0772	16
119.0886	35
119.1077	13
121.0647	10
123.1171	15
125.0704	87
127.0858	151
128.0697	10
129.0660	31
129.0877	21
130.0484	19
130.0847	19
131.6738	37
132.0210	170
132.0559	10
132.0770	12557
133.0236	16
133.0794	612
133.1020	50
134.0185	10
134.0796	50
135.1161	21
136.0477	874
137.0253	11
137.0501	60
137.0707	1510
137.1098	16
137.6331	90
137.6497	11
138.6336	11
139.1459	19
140.0742	14
140.1134	10
143.0794	29
143.1162	10
144.0766	36
144.1127	106
145.0961	18
147.0767	27
147.0956	11
147.1123	57
150.1118	71
151.1205	13
151.5569	23
152.0223	7870
153.0244	372
153.0517	16
153.0953	23
154.0584	157
155.1428	17
156.0239	101
156.0428	99
156.0753	26
157.0941	12
159.0776	11
160.0748	11
161.0929	21
162.1123	700
163.0198	20
163.0340	14
163.1153	40
167.0809	10
168.0649	13
168.1383	11
169.0728	20
169.1275	19
170.0325	2055
170.0904	24
171.0345	80
172.0302	155
173.0921	1340
174.0960	80
174.1127	17
174.1291	10
174.1549	13
176.0478	14
177.0659	10
177.1113	13
177.1603	10
178.0083	244
178.0573	13
179.0140	13
180.1343	14
180.1639	11
181.1613	10
186.1498	18
186.8272	15
187.0010	10
187.0823	214
187.1269	20
187.1558	44
188.0674	15
188.1638	14
188.8266	16
189.1344	54
189.1603	20
189.5363	26
189.9903	10
190.1195	9106
190.8198	11
191.1217	681
192.0134	34
192.1235	78
192.5764	21
193.0709	15
193.0935	20
193.9801	91
194.9825	10
195.1004	10
195.1406	14
196.0920	23
199.1442	19
199.2126	14
200.0220	49
200.0678	40
200.1033	17
201.0174	20
201.0285	11
202.0813	33
202.1451	14
203.1426	10
203.1846	11
204.0455	11
205.1955	15
207.1550	11
207.9884	149
208.9891	12
209.0638	13
209.1389	13
209.9845	23
210.0965	12
210.1522	11
211.9832	19
212.1004	427
213.1064	21
213.1326	20
213.9828	10
215.0321	11
215.1385	15
215.1520	22
215.9956	16
216.0873	12
216.1947	20
217.1781	18
217.2152	22
218.1571	12
219.1762	10
220.1826	73
221.1163	21
221.1528	15
221.1765	11
224.0545	13
225.0380	218
225.9549	15
226.0433	17
226.4269	23
227.0370	20
227.1256	4483
227.2068	10
227.3734	17
227.9569	26
228.0752	5490
228.1278	506
229.0774	417
229.1304	565
229.1531	78
229.9541	11
230.0734	438
230.1328	69
231.0763	22
231.1755	13
232.0874	10
233.1499	14
233.1745	13
233.4097	12
234.0776	13
235.2202	11
235.2421	17
237.9788	12
238.0345	10
238.0699	35
239.1810	15
240.0366	32
241.1296	96
242.1318	14
243.0658	22
243.9647	21
245.1359	183
245.9636	11
246.1374	14
247.0197	14
249.1070	576
249.1562	65
249.9413	41
250.0569	149
250.1104	70
250.1284	21
251.1134	187
251.1625	14
251.9364	11
252.1165	19
254.1492	25
255.1104	11
255.1251	22
255.1482	11
255.2101	10
256.1965	10
257.1786	14
258.0901	10
258.1095	59
260.0819	13
260.7602	10
262.0368	14
262.2788	12
262.7547	12
263.1462	457
264.1068	13
264.1492	25
265.0808	826
265.1761	15
265.9149	80
265.9426	10
266.0307	620
266.0828	88
267.0324	38
267.0786	59
267.1183	34
267.9122	50
268.0290	71
268.0804	11
268.1914	20
269.1252	198
270.0296	10
270.1272	21
270.1800	10
271.1366	12
271.2977	14
273.0960	65
274.0717	23
274.0933	195
274.1183	225
274.2396	10
275.2551	18
275.9440	14
275.9705	11
277.1817	12
278.0790	10
279.0848	14
281.9205	22
282.0414	20
282.2300	11
283.0921	16
283.9179	14
284.1192	10
285.2812	13
287.0955	10
289.0709	24
290.0441	12
290.0653	12
291.1084	15
292.0707	50
292.1030	289
293.1054	42
294.2033	13
296.0646	19
297.0847	28
297.1696	14
298.1741	12
300.1299	31
301.1072	18
301.8919	15
303.8900	12
306.1249	10
306.2276	14
308.1498	13
309.1548	10
310.1138	1274
311.1160	135
312.0260	17
312.1170	22
312.1905	14
313.1269	13
314.1501	41
315.0843	12
319.9977	15
320.1123	32
321.1933	15
321.9388	14
323.0117	11
323.0454	11
323.9906	14
325.9899	11
327.1471	23
327.1700	18
328.1305	15
329.0385	11
329.1531	10
330.0306	16
330.1648	47
332.0968	30
332.1701	123
333.0132	15
333.1718	16
334.6914	11
335.2022	13
339.0129	10
339.0547	17
339.8465	14
339.9633	37
341.9614	20
343.0188	20
344.1045	13
345.0021	25
348.0694	438
349.0726	46
349.9872	10
350.0692	22
357.9786	11
358.9841	10
359.0217	10
361.1275	22
362.1643	11
368.1170	15
370.0475	19
379.2298	52
380.9745	13
382.1395	14
386.0254	57
386.1574	11
388.0245	12
389.3488	22
392.2195	16
394.2222	35
396.9404	10
401.2116	21
408.1124	19
417.1849	13
424.1170	16
425.1766	19
430.0766	14
432.8941	11
436.0674	20
437.0659	13
438.0722	31
440.0674	56
442.0701	154
443.0767	18
444.0673	141
445.0720	17
446.0649	37
455.1395	12
458.0751	14
462.1470	10
486.3759	10
499.2073	30
537.1652	13
611.1824	15
758.2323	13
759.2304	12
