mz	rt	Inten
391.1729	9.25	103.5
391.1839	10.18	51.5
391.2534	5.75	32.2
391.2824	5.75	5.2
392.1764	9.25	25.8
392.1863	10.18	12.1
393.2253	7.13	18.1
395.0591	2.25	25.0
395.1184	5.75	3.4
395.1343	6.48	1679.3
396.1372	6.41	216.0
397.1416	6.41	54.1
397.1491	5.18	140.4
397.1505	7.15	21.6
397.1713	6.41	31.9
398.1805	8.25	3354.9
398.1817	6.98	43.0
398.949	8.71	599.1
399.1651	6.29	7946.4
399.184	8.25	997.7
399.948	8.73	84.6
400.124	5.27	335.6
400.1682	6.27	2079.3
400.1965	8.73	45549.5
401.0768	2.24	27.0
401.0922	11.58	14.3
401.1708	6.31	293.4
401.1773	8.38	85.8
401.2003	8.73	16401.0
402.2022	8.73	3568.7
402.2125	7.08	99.4
402.2129	6.52	284.5
403.1362	8.25	460.4
403.2047	8.71	443.6
403.2162	6.59	19.4
404.1396	8.25	113.3
404.2158	6.59	37.7
404.9676	18.15	3.4
405.1519	8.73	9332.8
406.1555	8.73	1916.1
407.0426	0.99	137.2
407.1474	9.27	43.7
407.1581	8.73	297.1
407.1678	6.59	285.6
407.2394	1.27	2275.8
408.1718	6.59	39.3
408.2428	1.27	578.1
413.0925	10.85	11.9
413.1434	6.52	146.4
413.2652	7.93	10.7
413.2671	15.02	16.0
414.1525	6.13	19.4
414.1755	6.14	146.3
414.1763	7.22	245.0
414.8938	6.18	621.4
414.8962	6.95	14.3
415.1079	11.56	196.6
415.1602	5.18	73.6
416.1114	11.56	38.9
416.1917	6.18	49781.4
416.1922	6.78	11999.0
417.196	6.18	16605.8
417.1965	6.78	3549.1
418.1972	6.78	667.2
418.1979	6.16	3601.1
418.28	7.17	48.8
419.1093	8.25	56.5
419.1311	7.22	36.0
419.1994	6.18	320.7
421.1255	8.73	1132.5
421.146	6.83	369.0
421.1472	6.18	8033.7
422.1296	8.73	214.5
422.149	6.83	77.7
422.1506	6.16	1743.9
423.1309	8.73	74.3
423.1534	6.18	275.1
425.1178	8.25	141.6
425.192	8.58	36.4
426.9868	6.61	10.5
426.987	8.99	21.7
427.1334	8.77	675.8
427.1964	7.11	94.6
428.1377	8.86	76.4
428.1559	6.09	359.6
428.1901	8.64	20.4
